"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1146","Проверка вопроса 'Сколько это стоит? И как оплатить?'","Tests","2026-04-26","passed","2026-04-26","TestFAQ","test_faq","",""
"","2897","Проверка оформления заказа","Tests","2026-04-26","passed","2026-04-26","TestOrder","test_order","",""
"","1607","Проверка перехода на дзен при клике на логотип Яндекса","Tests","2026-04-26","passed","2026-04-26","TestHeaderLinks","test_links","",""
"","1210","Проверка вопроса 'Можно ли заказать самокат прямо на сегодня?'","Tests","2026-04-26","passed","2026-04-26","TestFAQ","test_faq","",""
"","1205","Проверка вопроса 'Можно ли продлить заказ или вернуть самокат раньше?'","Tests","2026-04-26","passed","2026-04-26","TestFAQ","test_faq","",""
"","1415","Проверка вопроса 'Хочу сразу несколько самокатов! Так можно?'","Tests","2026-04-26","passed","2026-04-26","TestFAQ","test_faq","",""
"","2922","Проверка оформления заказа","Tests","2026-04-26","passed","2026-04-26","TestOrder","test_order","",""
"","1113","Проверка вопроса 'Как рассчитывается время аренды?'","Tests","2026-04-26","passed","2026-04-26","TestFAQ","test_faq","",""
"","1180","Проверка вопроса 'Вы привозите зарядку вместе с самокатом?'","Tests","2026-04-26","passed","2026-04-26","TestFAQ","test_faq","",""
"","1461","Проверка перехода на главную страницу при клике на логотип самоката","Tests","2026-04-26","passed","2026-04-26","TestHeaderLinks","test_links","",""
"","1163","Проверка вопроса 'Можно ли отменить заказ?'","Tests","2026-04-26","passed","2026-04-26","TestFAQ","test_faq","",""
"","1239","Проверка вопроса 'Я жизу за МКАДом, привезёте?'","Tests","2026-04-26","passed","2026-04-26","TestFAQ","test_faq","",""
